334.02,128.36,438.19,188.78,396.39,260.83,292.23,200.41
399.31,186.3,350.5,248.34,254,172.42,302.81,110.38
251.04,152.77,303.24,102.9,390.51,194.24,338.31,244.11
269.94,126.08,326.43,87.368,397.36,190.89,340.87,229.6
292.64,81.098,357.49,64.544,388.99,187.95,324.14,204.5
303.44,67.033,364.76,58.325,382.66,184.36,321.34,193.07
300.85,69.514,359.71,63.832,372.1,192.14,313.24,197.82
304.96,65.803,361.15,65.058,362.84,192.05,306.64,192.8
315.01,67.844,367.99,71.539,359.17,197.92,306.2,194.23
328.61,76.86,379,81.888,366.58,206.43,316.19,201.4
342.68,78.03,391.46,85.655,372.65,205.96,323.88,198.33
348.29,83.759,396.33,94.674,369.25,213.83,321.22,202.92
342.43,99.789,389.68,114.81,353.44,228.84,306.18,213.82
330.87,116,378.45,133.83,335.49,248.43,287.91,230.6
336,119.28,382.82,138.04,337.66,250.76,290.84,232
334.27,119.53,382.59,137.56,340.55,250.26,292.23,232.24
334.84,114.7,380.66,134.46,332.75,245.56,286.93,225.81
327.24,116.28,372.28,141.31,313.9,246.38,268.85,221.35
322.39,117.57,365.79,145.31,300.59,247.3,257.19,219.55
314.98,109.89,357.54,145.36,281.91,236.1,239.35,200.62
305.04,101.53,347.03,137.72,270.49,226.54,228.5,190.35
302.29,95.78,342.21,136.66,259.97,216.98,220.04,176.11
298.75,97.821,337.61,139.28,255.08,216.65,216.22,175.19
289.44,109.88,324.98,153.76,239.76,222.8,204.22,178.93
280.99,116.93,315.46,163.14,229.43,227.31,194.96,181.1
281.47,120.09,314.07,166.63,227.9,227.01,195.29,180.47
283.72,127.9,315.51,172.43,231.2,232.62,199.41,188.08
279.28,139.96,311.65,185.88,230.9,242.8,198.53,196.88
278.23,151.94,309.17,197.56,230.18,251.12,199.25,205.5
269.1,167.93,300.07,212.63,225.67,264.19,194.7,219.49
260.53,176.25,291.78,221.18,220.57,270.71,189.32,225.78
264.9,181.07,298.16,224.78,230.03,276.61,196.77,232.89
270.04,183.55,304.54,230.03,237.2,280.02,202.7,233.54
258.7,187.43,298.98,232.82,237.19,287.64,196.92,242.26
195.77,245.6,261.02,194.07,298.51,241.54,233.26,293.07
255.35,186.22,305.42,228.59,250.39,293.63,200.31,251.27
255.5,173.91,307.24,214.05,256.42,279.56,204.68,239.43
259.36,163.71,305.55,206.46,251.54,264.81,205.35,222.07
